Category,Item,Total Spent,Transaction Date
Housing,Rent,985.04,2023-08-17
Utilities,Electricity Bill,226.28,2023-03-31
Subscriptions,Spotify,8.28,2023-08-27
Subscriptions,Gym Membership,11.96,2024-10-27
Housing,Mortgage,1424.97,2023-01-07
Other,Online Purchase,105.63,2023-12-15
Transportation,Train Ticket,34.65,2023-12-11
Groceries,Milk,58.85,2024-01-03
Other,Misc Expense,91.75,2023-02-14
Housing,Mortgage,1962.36,2024-01-23
Groceries,Chicken,46.1,2024-10-05
Subscriptions,Spotify,29.66,2023-02-16
Housing,Rent,1979.31,2023-08-27
Other,Online Purchase,58.88,2024-04-09
Housing,Mortgage,1097.38,2024-11-17
Transportation,Uber Ride,92.54,2023-06-25
Subscriptions,Gym Membership,21.18,2023-10-04
Housing,Rent,1779.99,2023-02-27
Utilities,Electricity Bill,118.26,2023-03-09
Utilities,Gas Bill,139.83,2024-10-20
Dining,Restaurant,41.94,2023-09-10
Housing,Mortgage,1199.81,2024-08-20
Dining,Fast Food,35.24,2023-05-22
Subscriptions,Spotify,6.65,2023-04-23
Utilities,Water Bill,122.88,2023-03-07
Dining,Fast Food,90.6,2024-04-24
Subscriptions,Spotify,35.13,2023-01-12
Housing,Rent,1351.76,2023-10-01
Other,Misc Expense,19.4,2024-03-21
Utilities,Internet Bill,188.86,2023-09-27
Subscriptions,Netflix,8.72,2024-10-02
Transportation,Train Ticket,25.47,2023-06-15
Subscriptions,Gym Membership,25.96,2024-05-15
Groceries,Milk,139.58,2023-11-11
Utilities,Electricity Bill,154.82,2023-03-22
Groceries,Vegetables,74.44,2023-03-12
Other,Online Purchase,21.87,2024-05-01
Subscriptions,Netflix,35.54,2024-03-09
Utilities,Water Bill,117.78,2024-11-18
Housing,Mortgage,1324.61,2023-05-04
Utilities,Water Bill,34.63,2024-07-21
Utilities,Water Bill,185.73,2023-03-02
Utilities,Electricity Bill,219.12,2023-03-14
Subscriptions,Netflix,21.99,2024-07-06
Utilities,Internet Bill,134.05,2024-02-21
Utilities,Electricity Bill,124.83,2024-03-09
Dining,Fast Food,129.98,2023-02-25
Housing,Rent,1619.5,2023-04-22
Utilities,Water Bill,128.69,2024-03-08
Utilities,Gas Bill,222.39,2023-03-19
Dining,Food Delivery,17.39,2024-10-29
Subscriptions,Netflix,37.42,2023-08-31
Utilities,Internet Bill,77.02,2024-02-15
Groceries,Bread,58.71,2024-02-04
Transportation,Fuel,44.93,2024-12-14
Housing,Mortgage,1015.39,2023-03-01
Subscriptions,Gym Membership,31.18,2023-02-28
Groceries,Chicken,73.09,2024-06-27
Utilities,Electricity Bill,47.62,2023-07-10
Groceries,Chicken,12.99,2023-08-29
Dining,Restaurant,141.41,2024-08-06
Utilities,Electricity Bill,122.23,2024-08-20
Subscriptions,Gym Membership,14.13,2024-11-16
Housing,Mortgage,1154.1,2024-11-18
Housing,Mortgage,1900.63,2023-03-16
Groceries,Rice,94.31,2024-07-30
Groceries,Milk,82.03,2024-06-02
Transportation,Train Ticket,140.19,2023-03-12
Utilities,Gas Bill,126.4,2024-07-10
Housing,Mortgage,1982.13,2024-10-31
Subscriptions,Netflix,24.41,2024-11-10
Groceries,Bread,41.88,2023-04-20
Housing,Rent,1446.76,2023-12-18
Utilities,Gas Bill,85.25,2023-02-22
Groceries,Vegetables,65.27,2023-10-11
Groceries,Milk,52.03,2023-05-14
Housing,Mortgage,1218.57,2024-12-23
Dining,Food Delivery,4.42,2023-03-19
Housing,Rent,1768.43,2024-08-19
Subscriptions,Netflix,6.46,2024-01-09
Other,Online Purchase,135.14,2023-08-04
Housing,Rent,1095.15,2024-07-27
Other,Misc Expense,146.15,2023-06-08
Utilities,Water Bill,208.37,2024-02-27
Groceries,Bread,111.27,2023-12-07
Other,Misc Expense,120.93,2023-09-12
Transportation,Train Ticket,118.74,2023-04-21
Dining,Restaurant,129.21,2023-08-16
Utilities,Internet Bill,210.52,2023-08-22
Utilities,Electricity Bill,117.66,2023-10-13
Other,Online Purchase,145.13,2023-10-13
Transportation,Fuel,102.89,2024-07-03
Transportation,Uber Ride,19.96,2023-09-25
Utilities,Gas Bill,161.25,2023-12-20
Housing,Mortgage,1977.93,2023-04-29
Dining,Food Delivery,30.94,2023-02-15
Housing,Mortgage,1895.81,2024-07-05
Housing,Rent,697.96,2024-11-11
Transportation,Bus Pass,100.52,2023-05-08
Housing,Mortgage,1533.65,2023-12-01
Dining,Food Delivery,46.46,2023-05-11
Utilities,Internet Bill,113.41,2023-06-28
Subscriptions,Gym Membership,24.18,2023-01-01
Transportation,Bus Pass,33.9,2024-08-16
Subscriptions,Gym Membership,20.46,2024-11-22
Utilities,Internet Bill,241.16,2023-06-23
Housing,Rent,1529.4,2024-09-26
Transportation,Uber Ride,123.31,2023-08-29
Housing,Mortgage,878.78,2023-01-26
Groceries,Bread,147.64,2024-09-17
Other,Online Purchase,69.95,2024-10-06
Subscriptions,Netflix,18.44,2024-02-14
Utilities,Water Bill,31.22,2023-04-20
Other,Misc Expense,35.17,2024-12-13
Subscriptions,Spotify,13.72,2023-05-05
Dining,Restaurant,120.81,2024-11-14
Subscriptions,Gym Membership,38.25,2024-03-29
Subscriptions,Gym Membership,19.94,2024-07-15
Dining,Restaurant,112.32,2024-05-01
Dining,Fast Food,113.51,2024-10-14
Transportation,Fuel,95.13,2023-10-09
Dining,Restaurant,107.89,2023-08-29
Transportation,Bus Pass,50.0,2024-07-07
Groceries,Bread,25.17,2024-01-28
Housing,Rent,689.92,2024-02-22
Transportation,Fuel,64.12,2023-07-31
Other,Misc Expense,60.25,2024-08-21
Housing,Rent,1671.83,2024-01-25
Dining,Restaurant,141.58,2023-11-02
Other,Misc Expense,128.46,2024-03-05
Subscriptions,Gym Membership,33.0,2023-08-14
Dining,Restaurant,43.12,2024-05-12
Groceries,Rice,52.41,2024-11-26
Other,Misc Expense,109.45,2024-04-23
Utilities,Electricity Bill,160.22,2024-11-09
Groceries,Milk,97.48,2023-05-19
Other,Misc Expense,29.71,2023-09-24
Dining,Fast Food,34.11,2023-12-01
Transportation,Fuel,43.9,2024-03-07
Transportation,Uber Ride,72.14,2024-07-06
Groceries,Eggs,35.96,2023-03-12
Other,Online Purchase,113.87,2023-09-11
Utilities,Electricity Bill,82.48,2024-04-29
Housing,Rent,905.15,2024-12-17
Transportation,Bus Pass,27.67,2024-09-13
Housing,Rent,829.27,2023-11-15
Groceries,Chicken,6.77,2023-11-16
Subscriptions,Gym Membership,18.14,2023-07-23
Groceries,Chicken,104.52,2024-10-04
Utilities,Electricity Bill,96.35,2024-12-01
Subscriptions,Netflix,24.81,2023-02-12
Transportation,Fuel,100.24,2023-03-12
Subscriptions,Gym Membership,34.74,2024-05-16
Groceries,Rice,144.24,2024-10-12
Other,Misc Expense,106.97,2024-03-21
Utilities,Gas Bill,232.32,2024-05-10
Dining,Fast Food,124.38,2024-08-29
Transportation,Bus Pass,128.2,2023-03-30
Transportation,Fuel,38.85,2024-04-20
Subscriptions,Gym Membership,16.77,2024-05-21
Other,Misc Expense,29.73,2023-08-06
Transportation,Bus Pass,53.03,2024-09-02
Housing,Mortgage,1323.28,2023-07-15
Groceries,Bread,108.85,2024-05-15
Subscriptions,Netflix,27.61,2024-05-17
Dining,Restaurant,16.68,2023-08-15
