date,description,amount,label,source
2023-08-17,card rent pmt rent,985.04,housing,simulated_bank_transactions_uk
2023-03-31,pos/direct/debit/vodafone,226.28,utilities,simulated_bank_transactions_uk
2023-08-27,subscription/gym/group <ref>,8.28,subscriptions,simulated_bank_transactions_uk
2024-10-27,mastercard-direct-debit-amazon-prime,11.96,subscriptions,simulated_bank_transactions_uk
2023-01-07,mortgage payment rent,1424.97,housing,simulated_bank_transactions_uk
2023-12-15,card payment ebay online purchase,105.63,other,simulated_bank_transactions_uk
2023-12-11,direct debit fuel esso train ticket <ref>,34.65,transportation,simulated_bank_transactions_uk
2024-01-03,pos lidl milk <ref>,58.85,groceries,simulated_bank_transactions_uk
2023-02-14,card-payment-amazon-misc-expense <ref>,91.75,other,simulated_bank_transactions_uk
2024-01-23,so rent pmt mortgage <ref>,1962.36,housing,simulated_bank_transactions_uk
2024-10-05,visa/pos/lidl/chicken,46.1,groceries,simulated_bank_transactions_uk
2023-02-16,direct debit spotify <ref>,29.66,subscriptions,simulated_bank_transactions_uk
2023-08-27,bacs-bacs-letting-agent-rent,1979.31,housing,simulated_bank_transactions_uk
2024-04-09,online-purchase-ebay-online-purchase,58.88,other,simulated_bank_transactions_uk
2024-11-17,bacs rent rent,1097.38,housing,simulated_bank_transactions_uk
2023-06-25,transport*uber*uber*ride,92.54,transportation,simulated_bank_transactions_uk
2023-10-04,subscription disney+ <ref>,21.18,subscriptions,simulated_bank_transactions_uk
2023-02-27,bacs landlord rent,1779.99,housing,simulated_bank_transactions_uk
2023-03-09,direct/debit/scottishpower <ref>,118.26,utilities,simulated_bank_transactions_uk
2024-10-20,direct*debit*scottishpower <ref>,139.83,utilities,simulated_bank_transactions_uk
2023-09-10,fps food delivery uber eats restaurant <ref>,41.94,dining,simulated_bank_transactions_uk
2024-08-20,bacs*mortgage*rent,1199.81,housing,simulated_bank_transactions_uk
2023-05-22,fps*card*payment*nando's*fast*foo,35.24,dining,simulated_bank_transactions_uk
2023-04-23,subscription spotify <ref>,6.65,subscriptions,simulated_bank_transactions_uk
2023-03-07,direct*debit*vodafone <ref>,122.88,utilities,simulated_bank_transactions_uk
2024-04-24,contactless food delivery just eat fas,90.6,dining,simulated_bank_transactions_uk
2023-01-12,so card payment puregym <ref>,35.13,subscriptions,simulated_bank_transactions_uk
2023-10-01,bacs landlord rent <ref>,1351.76,housing,simulated_bank_transactions_uk
2024-03-21,card-pmt-superdrug-misc-expense,19.4,other,simulated_bank_transactions_uk
2023-09-27,pos-bill-payment-british-gas,188.86,utilities,simulated_bank_transactions_uk
2024-10-02,direct debit google *services <ref>,8.72,subscriptions,simulated_bank_transactions_uk
2023-06-15,mastercard-transport-trainline-train-ticket <ref>,25.47,transportation,simulated_bank_transactions_uk
2024-05-15,card*pmt*apple.com/,25.96,subscriptions,simulated_bank_transactions_uk
2023-11-11,fps contactless asda milk <ref>,139.58,groceries,simulated_bank_transactions_uk
2023-03-22,utility/bill/e.on <ref>,154.82,utilities,simulated_bank_transactions_uk
2023-03-12,card payment tesco vegetables <ref>,74.44,groceries,simulated_bank_transactions_uk
2024-05-01,card payment argos online purchase <ref>,21.87,other,simulated_bank_transactions_uk
2024-03-09,card payment gym group,35.54,subscriptions,simulated_bank_transactions_uk
2024-11-18,bill/pmt/o2 <ref>,117.78,utilities,simulated_bank_transactions_uk
2023-05-04,mortgage pmt letting agent <ref>,1324.61,housing,simulated_bank_transactions_uk
2024-07-21,direct debit thames water <ref>,34.63,utilities,simulated_bank_transactions_uk
2023-03-02,bacs direct debit bt <ref>,185.73,utilities,simulated_bank_transactions_uk
2023-03-14,direct debit sky <ref>,219.12,utilities,simulated_bank_transactions_uk
2024-07-06,card pmt apple.com/bill <ref>,21.99,subscriptions,simulated_bank_transactions_uk
2024-02-21,utility bill vodafone <ref>,134.05,utilities,simulated_bank_transactions_uk
2024-03-09,utility*bill*bt,124.83,utilities,simulated_bank_transactions_uk
2023-02-25,food delivery mcdonalds fast food <ref>,129.98,dining,simulated_bank_transactions_uk
2023-04-22,visa rent payment letting,1619.5,housing,simulated_bank_transactions_uk
2024-03-08,utility bill sk,128.69,utilities,simulated_bank_transactions_uk
2023-03-19,so bill payment octopus energy,222.39,utilities,simulated_bank_transactions_uk
2024-10-29,restaurant mcdonalds food delivery,17.39,dining,simulated_bank_transactions_uk
2023-08-31,subscription puregym <ref>,37.42,subscriptions,simulated_bank_transactions_uk
2024-02-15,direct-debit-sky <ref>,77.02,utilities,simulated_bank_transactions_uk
2024-02-04,pos*asda*bread <ref>,58.71,groceries,simulated_bank_transactions_uk
2024-12-14,card pmt uber fuel,44.93,transportation,simulated_bank_transactions_uk
2023-03-01,mortgage payment mortgage,1015.39,housing,simulated_bank_transactions_uk
2023-02-28,direct debit amazon prime <ref>,31.18,subscriptions,simulated_bank_transactions_uk
2024-06-27,card payment asda chicken,73.09,groceries,simulated_bank_transactions_uk
2023-07-10,contactless-direct-debit-vodafone <ref>,47.62,utilities,simulated_bank_transactions_uk
2023-08-29,card-payment-morrisons-chicken <ref>,12.99,groceries,simulated_bank_transactions_uk
2024-08-06,visa*card*payment*pret*restaurant <ref>,141.41,dining,simulated_bank_transactions_uk
2024-08-20,utility bill o2,122.23,utilities,simulated_bank_transactions_uk
2024-11-16,direct debit disney+,14.13,subscriptions,simulated_bank_transactions_uk
2024-11-18,contactless rent payment landlord <ref>,1154.1,housing,simulated_bank_transactions_uk
2023-03-16,bacs letting agent rent <ref>,1900.63,housing,simulated_bank_transactions_uk
2024-07-30,card pmt sainsburys rice <ref>,94.31,groceries,simulated_bank_transactions_uk
2024-06-02,contactless aldi milk <ref>,82.03,groceries,simulated_bank_transactions_uk
2023-03-12,fps card pmt trainline train ticket <ref>,140.19,transportation,simulated_bank_transactions_uk
2024-07-10,bill-payment-e.on <ref>,126.4,utilities,simulated_bank_transactions_uk
2024-10-31,rent pmt rent <ref>,1982.13,housing,simulated_bank_transactions_uk
2024-11-10,pos subscription netflix <ref>,24.41,subscriptions,simulated_bank_transactions_uk
2023-04-20,card/pmt/waitrose/bread <ref>,41.88,groceries,simulated_bank_transactions_uk
2023-12-18,rent payment landlord,1446.76,housing,simulated_bank_transactions_uk
2023-02-22,card direct debit octopus energy <ref>,85.25,utilities,simulated_bank_transactions_uk
2023-10-11,contactless aldi vegetables <ref>,65.27,groceries,simulated_bank_transactions_uk
2023-05-14,pos waitrose milk <ref>,52.03,groceries,simulated_bank_transactions_uk
2024-12-23,rent/payment/rent <ref>,1218.57,housing,simulated_bank_transactions_uk
2023-03-19,food delivery uber eats food delivery <ref>,4.42,dining,simulated_bank_transactions_uk
2024-08-19,bacs letting agent rent <ref>,1768.43,housing,simulated_bank_transactions_uk
2024-01-09,mastercard subscription spotify <ref>,6.46,subscriptions,simulated_bank_transactions_uk
2023-08-04,pos purchase currys online purchase,135.14,other,simulated_bank_transactions_uk
2024-07-27,mortgage payment landl,1095.15,housing,simulated_bank_transactions_uk
2023-06-08,online*purchase*boots*misc*expense,146.15,other,simulated_bank_transactions_uk
