date,description,amount,label,source
2023-08-17,pos purchase rent,985.04,other,retail_simulated_bank
2023-03-31,Online*Purchase*Electricity*Bill,226.28,other,retail_simulated_bank
2023-08-27,Pos Purchase Spotify 166573,8.28,other,retail_simulated_bank
2024-10-27,online*purchase*gym*membership,11.96,other,retail_simulated_bank
2023-01-07,CARD/PMT/MORTGAGE 226177,1424.97,other,retail_simulated_bank
2023-12-15,CARD PMT ONLINE PURCHASE,105.63,other,retail_simulated_bank
2023-12-11,Card Payment Train Ticket 256399,34.65,transportation,retail_simulated_bank
2024-01-03,Pos-Purchase-Milk,58.85,groceries,retail_simulated_bank
2023-02-14,Online Purchase Misc Expense 932359,91.75,other,retail_simulated_bank
2024-01-23,card payment mortgage 126340,1962.36,other,retail_simulated_bank
2024-10-05,CARD PMT CHICKEN 487912,46.1,groceries,retail_simulated_bank
2023-02-16,Card Payment Spotify 74608,29.66,other,retail_simulated_bank
2023-08-27,Pos Purchase Rent,1979.31,other,retail_simulated_bank
2024-04-09,CARD PMT ONLINE PURCHASE 602395,58.88,other,retail_simulated_bank
2024-11-17,Online-Purchase-Mortgage 759755,1097.38,other,retail_simulated_bank
2023-06-25,card pmt uber ride,92.54,transportation,retail_simulated_bank
2023-10-04,Online Purchase Gym Membership 727133,21.18,other,retail_simulated_bank
2023-02-27,Online Purchase Rent,1779.99,other,retail_simulated_bank
2023-03-09,Card Payment Electricity Bill 41103,118.26,other,retail_simulated_bank
2024-10-20,Online Purchase Gas Bill 460722,139.83,other,retail_simulated_bank
2023-09-10,CARD PAYMENT RESTAURANT 602894,41.94,other,retail_simulated_bank
2024-08-20,Card*Payment*Mortgage,1199.81,other,retail_simulated_bank
2023-05-22,Pos Purchase Fast Food,35.24,other,retail_simulated_bank
2023-04-23,Card Payment Spotify,6.65,other,retail_simulated_bank
2023-03-07,Pos Purchase Water Bill 37670,122.88,other,retail_simulated_bank
2024-04-24,Online Purchase Fast Food,90.6,other,retail_simulated_bank
2023-01-12,CARD/PMT/SPOTIFY 5,35.13,other,retail_simulated_bank
2023-10-01,Pos*Purchase*Rent 928618,1351.76,other,retail_simulated_bank
2024-03-21,ONLINE PURCHASE MISC EXPENSE,19.4,other,retail_simulated_bank
2023-09-27,Pos Purchase Internet Bi,188.86,other,retail_simulated_bank
2024-10-02,pos purchase netflix,8.72,other,retail_simulated_bank
2023-06-15,Fuel/Train/Ticket 265570,25.47,transportation,retail_simulated_bank
2024-05-15,ONLINE PURCHASE GYM MEMBERSHIP,25.96,other,retail_simulated_bank
2023-11-11,Card-Payment-Milk,139.58,groceries,retail_simulated_bank
2023-03-22,CARD PMT ELECTRICITY BILL,154.82,other,retail_simulated_bank
2023-03-12,pos purchase vegetables 936175,74.44,groceries,retail_simulated_bank
2024-05-01,Card Pmt Online Purchase 986262,21.87,other,retail_simulated_bank
2024-03-09,Online Purchase Netflix 1,35.54,other,retail_simulated_bank
2024-11-18,card pmt water bill 734463,117.78,other,retail_simulated_bank
2023-05-04,CARD PAYMENT MORTGAGE,1324.61,other,retail_simulated_bank
2024-07-21,ONLINE PURCHASE WATER BILL,34.63,other,retail_simulated_bank
2023-03-02,Pos Purchase Water Bill 66349,185.73,other,retail_simulated_bank
2023-03-14,CARD PMT ELECTRICITY BILL 731048,219.12,other,retail_simulated_bank
2024-07-06,CARD PMT NETFLIX 290974,21.99,other,retail_simulated_bank
2024-02-21,Online Purchase Internet Bill 996081,134.05,other,retail_simulated_bank
2024-03-09,Online Purchase Electricity Bill,124.83,other,retail_simulated_bank
2023-02-25,ONLINE PURCHASE FAST FOOD,129.98,other,retail_simulated_bank
2023-04-22,Card Pmt Rent,1619.5,other,retail_simulated_bank
2024-03-08,ONLINE PURCHASE WATER BILL,128.69,other,retail_simulated_bank
2023-03-19,Online Purchase Gas Bill 434468,222.39,other,retail_simulated_bank
2024-10-29,Card Payment Food Delivery,17.39,other,retail_simulated_bank
2023-08-31,online purchase netflix 313084,37.42,other,retail_simulated_bank
2024-02-15,online purchase internet bill,77.02,other,retail_simulated_bank
