Category,Item,Total Spent,Transaction Date
Dining,Restaurant,119.94,2023-09-08
Groceries,Bread,136.96,2024-07-12
Groceries,Fruit,11.2,2023-04-06
Groceries,Milk,114.44,2024-10-27
Dining,Cafe,39.17,2024-08-26
Utilities,Electricity Bill,203.32,2023-06-13
Dining,Food Delivery,48.07,2023-08-09
Other,Pharmacy,28.25,2024-01-25
Groceries,Vegetables,122.73,2023-02-14
Dining,Restaurant,155.83,2024-01-23
Groceries,Chicken,166.73,2024-09-25
Housing,Mortgage,1544.9,2024-12-22
Groceries,Rice,155.75,2023-03-23
Housing,Rent,1239.2,2024-04-09
Dining,Food Delivery,30.21,2023-12-30
Groceries,Chicken,141.85,2024-11-30
Dining,Fast Food,87.79,2023-09-08
Groceries,Fruit,57.64,2024-10-17
Dining,Fast Food,111.12,2023-02-27
Groceries,Milk,161.98,2024-02-15
Utilities,Water Bill,239.59,2024-08-03
Housing,Mortgage,979.57,2024-05-26
Utilities,Internet Bill,58.57,2023-05-23
Groceries,Chicken,150.67,2024-03-14
Housing,Mortgage,1211.09,2023-05-22
Transportation,Uber Ride,106.3,2023-04-23
Groceries,Eggs,159.46,2024-03-08
Dining,Cafe,64.15,2024-04-24
Transportation,Car Maintenance,120.79,2023-01-12
Dining,Restaurant,110.67,2024-07-03
Subscriptions,Gym Membership,8.57,2024-03-21
Groceries,Milk,190.99,2023-09-27
Other,Misc Expense,128.4,2023-04-19
Housing,Mortgage,1954.59,2024-06-03
Dining,Fast Food,62.96,2023-06-15
Transportation,Car Maintenance,128.75,2024-09-05
Utilities,Electricity Bill,51.29,2024-01-07
Housing,Mortgage,1021.15,2023-09-04
Housing,Rent,782.76,2024-05-12
Subscriptions,Prime Membership,35.4,2023-05-12
Dining,Fast Food,46.08,2024-09-13
Transportation,Train Ticket,130.19,2024-12-07
Groceries,Chicken,82.8,2024-11-18
Dining,Cafe,144.44,2024-04-07
Groceries,Rice,17.49,2023-01-22
Dining,Fast Food,96.21,2023-01-08
Groceries,Milk,49.64,2023-02-02
Housing,Rent,1446.94,2023-10-13
Dining,Fast Food,88.58,2024-08-07
Dining,Fast Food,126.62,2024-02-21
Groceries,Bread,133.5,2023-12-29
Transportation,Fuel,121.21,2023-02-25
Dining,Restaurant,14.39,2023-12-14
Subscriptions,Netflix,14.19,2023-07-14
Transportation,Train Ticket,60.22,2023-10-13
Transportation,Uber Ride,63.15,2024-07-17
Groceries,Milk,193.95,2023-08-31
Groceries,Cereal,98.86,2024-02-15
Housing,Rent,1237.41,2024-02-04
Utilities,Internet Bill,92.03,2024-12-14
Other,Electronics,166.48,2024-05-13
Groceries,Chicken,47.45,2023-03-01
Dining,Restaurant,120.94,2023-02-28
Groceries,Cereal,103.06,2024-06-27
Groceries,Bread,171.01,2023-03-12
Dining,Fast Food,67.59,2024-08-06
Groceries,Milk,125.78,2024-03-05
Dining,Food Delivery,149.88,2023-07-29
Dining,Food Delivery,42.0,2024-02-10
Groceries,Chicken,94.16,2023-03-16
Groceries,Bread,19.29,2023-08-07
Transportation,Train Ticket,130.79,2023-03-12
Housing,Mortgage,1091.73,2024-03-24
Subscriptions,Gym Membership,29.08,2024-10-31
Transportation,Car Maintenance,43.31,2024-11-10
Groceries,Eggs,56.57,2023-04-20
Dining,Fast Food,47.21,2024-09-11
Groceries,Vegetables,44.7,2024-10-11
Housing,Landlord Payment,1407.22,2023-02-22
Groceries,Fruit,166.72,2023-02-15
Groceries,Eggs,129.24,2023-09-26
Groceries,Cereal,112.58,2024-03-13
Dining,Restaurant,16.66,2024-12-08
Housing,Landlord Payment,705.84,2024-01-14
Dining,Fast Food,71.62,2023-02-12
Utilities,Electricity Bill,236.25,2023-08-04
Dining,Restaurant,59.82,2024-07-27
Housing,Mortgage,2159.45,2023-06-08
Housing,Rent,1990.14,2023-07-01
Housing,Rent,928.01,2023-12-07
Subscriptions,iCloud,36.89,2023-09-12
Utilities,Electricity Bill,114.9,2023-02-09
Housing,Rent,959.34,2024-04-16
Utilities,Water Bill,77.39,2024-11-06
Groceries,Vegetables,59.33,2023-03-13
Other,Pharmacy,89.73,2024-06-05
Utilities,Phone Bill,102.82,2023-01-29
Groceries,Chicken,39.82,2023-09-29
Groceries,Fruit,72.41,2023-11-18
Transportation,Car Maintenance,17.96,2024-08-13
Groceries,Milk,143.21,2023-01-02
Transportation,Car Maintenance,96.79,2024-11-17
Groceries,Fruit,18.64,2024-11-11
Housing,Landlord Payment,1136.57,2023-05-08
Dining,Food Delivery,83.6,2024-11-13
Transportation,Fuel,98.21,2024-07-21
Groceries,Fruit,134.66,2024-01-24
Dining,Fast Food,100.4,2023-11-05
Transportation,Uber Ride,43.93,2023-08-04
Transportation,Car Maintenance,85.72,2023-11-26
Transportation,Fuel,95.24,2024-06-07
Transportation,Train Ticket,92.92,2023-10-18
Transportation,Car Maintenance,48.26,2023-08-29
Dining,Fast Food,130.02,2023-05-31
Groceries,Rice,196.87,2024-09-17
Subscriptions,Netflix,22.67,2024-10-06
Dining,Cafe,81.63,2023-09-07
Groceries,Milk,179.07,2023-04-20
Subscriptions,Spotify,11.21,2024-12-13
Transportation,Uber Ride,78.92,2023-05-05
Transportation,Fuel,94.13,2024-07-26
Dining,Cafe,99.96,2024-05-31
Transportation,Car Maintenance,63.54,2023-06-12
