date,description,amount,label,source
2023-09-08,Card Card Pmt Nando's Restaurant,119.94,dining,simulated_bank_transactions_uk
2024-07-12,pos/pos/morrisons/bread,136.96,groceries,simulated_bank_transactions_uk
2023-04-06,Pos/Morrisons/Fruit 357778,11.2,groceries,simulated_bank_transactions_uk
2024-10-27,mastercard-card-payment-lidl-milk,114.44,groceries,simulated_bank_transactions_uk
2024-08-26,Contactless Card Pmt Just Eat Cafe,39.17,dining,simulated_bank_transactions_uk
2023-06-13,Direct Debit Octopus Energy,203.32,utilities,simulated_bank_transactions_uk
2023-08-09,DIRECT DEBIT FOOD DELIVERY DELIVEROO FOOD DELIVERY 180451,48.07,dining,simulated_bank_transactions_uk
2024-01-25,Card Pmt Currys Pharmacy 718870,28.25,other,simulated_bank_transactions_uk
2023-02-14,pos-tesco-vegetables 524481,122.73,groceries,simulated_bank_transactions_uk
2024-01-23,so card pmt deliveroo restaurant 612878,155.83,dining,simulated_bank_transactions_uk
2024-09-25,Visa/Pos/Lidl/Chicken,166.73,groceries,simulated_bank_transactions_uk
2024-12-22,mortgage pmt rent 121116,1544.9,housing,simulated_bank_transactions_uk
2023-03-23,BACS-CONTACTLESS-ALDI-RICE,155.75,groceries,simulated_bank_transactions_uk
2024-04-09,bacs-rent-rent,1239.2,housing,simulated_bank_transactions_uk
2023-12-30,CARD PMT JUST EAT FOOD DELIVERY,30.21,dining,simulated_bank_transactions_uk
2024-11-30,Pos*Lidl*Chicken,141.85,groceries,simulated_bank_transactions_uk
2023-09-08,Card*Payment*Just*Eat*Fast*Food,87.79,dining,simulated_bank_transactions_uk
2024-10-17,Contactless Lidl Fruit,57.64,groceries,simulated_bank_transactions_uk
2023-02-27,card/payment/kfc/fast/food 743225,111.12,dining,simulated_bank_transactions_uk
2024-02-15,POS*LIDL*MILK 139739,161.98,groceries,simulated_bank_transactions_uk
2024-08-03,Fps Utility Bill Bt 372507,239.59,utilities,simulated_bank_transactions_uk
2024-05-26,Bacs*Mortgage*Rent,979.57,housing,simulated_bank_transactions_uk
2023-05-23,FPS*DIRECT*DEBIT*OCTOPUS*ENERG,58.57,utilities,simulated_bank_transactions_uk
2024-03-14,Pos Sainsburys Chicken 510231,150.67,groceries,simulated_bank_transactions_uk
2023-05-22,Rent*Payment*Mortgage 731429,1211.09,housing,simulated_bank_transactions_uk
2023-04-23,Transport Esso Uber Ride 785309,106.3,transportation,simulated_bank_transactions_uk
2024-03-08,Contactless Tesco Eg,159.46,groceries,simulated_bank_transactions_uk
2024-04-24,restaurant kfc cafe 86965,64.15,dining,simulated_bank_transactions_uk
2023-01-12,card/payment/shell/car/maintenance 315569,120.79,transportation,simulated_bank_transactions_uk
2024-07-03,card/pmt/nando's/restaurant 139890,110.67,dining,simulated_bank_transactions_uk
2024-03-21,subscription spotify 847305,8.57,subscriptions,simulated_bank_transactions_uk
2023-09-27,CONTACTLESS TESCO MILK 933931,190.99,groceries,simulated_bank_transactions_uk
2023-04-19,Pos-Purchase-Argos-Misc-Expense 264319,128.4,other,simulated_bank_transactions_uk
2024-06-03,RENT/PMT/RENT 275680,1954.59,housing,simulated_bank_transactions_uk
